药物1,药物2,相互作用类型,详细描述
azithromycin,methylprednisolone,药效增强,The serum concentration of Methylprednisolone can be increased when it is combined with Azithromycin.
azithromycin,telithromycin,药效减弱,The metabolism of Azithromycin can be decreased when combined with Telithromycin.
azithromycin,clarithromycin,药效减弱,The metabolism of Azithromycin can be decreased when combined with Clarithromycin.
azithromycin,lonafarnib,药效减弱,The metabolism of Azithromycin can be decreased when combined with Lonafarnib.
azithromycin,enzalutamide,药效减弱,The serum concentration of Azithromycin can be decreased when it is combined with Enzalutamide.
azithromycin,lumacaftor,药效增强,The metabolism of Azithromycin can be increased when combined with Lumacaftor.
azithromycin,ARN-509,药效减弱,The serum concentration of Azithromycin can be decreased when it is combined with Apalutamide.
azithromycin,proparacaine,药效增强,The risk or severity of methemoglobinemia can be increased when Azithromycin is combined with Proparacaine.
azithromycin,fedratinib,药效增强,The serum concentration of Azithromycin can be increased when it is combined with Fedratinib.
ranolazine,UDCA,药效减弱,Ursodeoxycholic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.
ranolazine,olmesartan,药效减弱,Olmesartan may decrease the excretion rate of Ranolazine which could result in a higher serum level.
ranolazine,pazopanib,药效增强,The serum concentration of Pazopanib can be increased when it is combined with Ranolazine.
ranolazine,carvedilol,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Carvedilol.
ranolazine,elacridar,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Elacridar.
ranolazine,tariquidar,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Tariquidar.
ranolazine,istradefylline,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Istradefylline.
ranolazine,carfilzomib,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Carfilzomib.
ranolazine,favipiravir,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Favipiravir.
ranolazine,ponatinib,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Ponatinib.
ranolazine,toremifene,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Toremifene.
ranolazine,vincristine sulfate,药效增强,The serum concentration of Vincristine can be increased when it is combined with Ranolazine.
ranolazine,Lyovac Cosmegen,药效增强,The serum concentration of Dactinomycin can be increased when it is combined with Ranolazine.
ranolazine,belinostat,药效增强,The serum concentration of Belinostat can be increased when it is combined with Ranolazine.
ranolazine,cobimetinib,药效增强,The serum concentration of Cobimetinib can be increased when it is combined with Ranolazine.
ranolazine,depsipeptide,药效增强,The serum concentration of Romidepsin can be increased when it is combined with Ranolazine.
ranolazine,temsirolimus,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Temsirolimus.
ranolazine,panobinostat,药效增强,The serum concentration of Panobinostat can be increased when it is combined with Ranolazine.
ranolazine,crizotinib,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Crizotinib.
ranolazine,sofosbuvir,药效增强,The serum concentration of Sofosbuvir can be increased when it is combined with Ranolazine.
