node1,node2,combined_score
Progesterone receptor,Receptor tyrosine-protein kinase erbB-2,0.98
Progesterone receptor,Trefoil factor 1,0.767
Progesterone receptor,Receptor tyrosine-protein kinase erbB-4,0.881
Progesterone receptor,Proto-oncogene tyrosine-protein kinase Src,0.937
Prostaglandin E2 receptor EP1 subtype,Prostaglandin G/H synthase 1,0.714
Prostaglandin E2 receptor EP1 subtype,Prostaglandin G/H synthase 2,0.753
Prostaglandin E2 receptor EP2 subtype,Prostaglandin G/H synthase 2,0.712
Prostaglandin E2 receptor EP3 subtype,Prostaglandin G/H synthase 1,0.7
Prostaglandin E2 receptor EP3 subtype,Prostaglandin G/H synthase 2,0.802
Prostaglandin F2-alpha receptor,Type-1 angiotensin II receptor,0.783
Prostaglandin G/H synthase 1,Prostaglandin G/H synthase 2,0.946
Prostaglandin G/H synthase 2,Signal transducer and activator of transcription 3,0.93
Prostaglandin G/H synthase 2,Receptor tyrosine-protein kinase erbB-2,0.828
Prostaglandin G/H synthase 2,Vascular cell adhesion protein 1,0.758
Prostaglandin G/H synthase 2,Xanthine dehydrogenase/oxidase,0.704
Prostaglandin G/H synthase 2,RAC-alpha serine/threonine-protein kinase,0.775
Prostaglandin G/H synthase 2,Proto-oncogene tyrosine-protein kinase Src,0.778
Proteasome subunit beta type-1,Proteasome subunit beta type-9,0.999
Proteasome subunit beta type-1,Proteasome subunit beta type-8,0.999
Proteasome subunit beta type-1,Proteasome subunit beta type-2,0.999
Proteasome subunit beta type-1,Proteasome subunit beta type-10,0.999
Proteasome subunit beta type-1,Proteasome subunit beta type-5,0.999
Proteasome subunit beta type-10,Proteasome subunit beta type-5,0.992
Proteasome subunit beta type-10,Proteasome subunit beta type-8,0.999
Proteasome subunit beta type-10,Proteasome subunit beta type-9,0.999
Proteasome subunit beta type-10,Proteasome subunit beta type-2,0.999
Proteasome subunit beta type-2,Proteasome subunit beta type-5,0.999
Proteasome subunit beta type-2,Proteasome subunit beta type-8,0.999
Proteasome subunit beta type-2,Proteasome subunit beta type-9,0.999
Proteasome subunit beta type-5,Proteasome subunit beta type-8,0.962
Proteasome subunit beta type-5,Proteasome subunit beta type-9,0.997
Proteasome subunit beta type-8,Proteasome subunit beta type-9,0.999
Protein farnesyltransferase subunit beta,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,0.999
Protein kinase C alpha type,Sodium-dependent dopamine transporter,0.913
Protein kinase C alpha type,Serine/threonine-protein kinase mTOR,0.969
Protein kinase C alpha type,Voltage gated L-type calcium channel,0.919
Protein kinase C alpha type,Proto-oncogene tyrosine-protein kinase Src,0.867
Protein kinase C alpha type,Tyrosine-protein kinase Lyn,0.914
Protein kinase C alpha type,Serine/threonine-protein kinase B-raf,0.937
Protein kinase C alpha type,Protein kinase C beta type,0.963
Protein kinase C beta type,Protein kinase C theta type,0.915
Protein kinase C beta type,Sodium-dependent dopamine transporter,0.917
Protein kinase C beta type,Serine/threonine-protein kinase mTOR,0.937
Protein kinase C beta type,Voltage gated L-type calcium channel,0.902
Protein kinase C beta type,Serine/threonine-protein kinase B-raf,0.909
Protein kinase C beta type,Tyrosine-protein kinase Lyn,0.947
Protein kinase C theta type,Tyrosine-protein kinase Lck,0.94
Prothrombin,Vitamin K-dependent gamma-carboxylase,0.961
Prothrombin,Vitamin K-dependent protein C,0.987
Prothrombin,Serotransferrin,0.725
Prothrombin,Vitamin K epoxide reductase complex subunit 1,0.836
Prothrombin,Type-1 angiotensin II receptor,0.92
Proto-oncogene tyrosine-protein kinase Src,Vascular endothelial growth factor receptor 3,0.708
Proto-oncogene tyrosine-protein kinase Src,Vascular endothelial growth factor receptor 2,0.998
Proto-oncogene tyrosine-protein kinase Src,Signal transducer and activator of transcription 3,0.999
Proto-oncogene tyrosine-protein kinase Src,Receptor tyrosine-protein kinase erbB-2,0.999
Proto-oncogene tyrosine-protein kinase Src,Transcription factor Sp1,0.947
Proto-oncogene tyrosine-protein kinase Src,Receptor tyrosine-protein kinase erbB-4,0.916
Proto-oncogene tyrosine-protein kinase Src,Serine/threonine-protein kinase mTOR,0.793
Proto-oncogene tyrosine-protein kinase Src,Tyrosine-protein phosphatase non-receptor type 1,0.979
Proto-oncogene tyrosine-protein kinase Src,Type-1 angiotensin II receptor,0.704
Proto-oncogene tyrosine-protein kinase Src,Serine/threonine-protein kinase B-raf,0.842
Proto-oncogene tyrosine-protein kinase Src,Tyrosine-protein kinase HCK,0.876
Proto-oncogene tyrosine-protein kinase Src,Tyrosine-protein kinase Lck,0.876
Proto-oncogene tyrosine-protein kinase Src,Tyrosine-protein kinase JAK2,0.917
Proto-oncogene tyrosine-protein kinase Src,Transient receptor potential cation channel subfamily V member 1,0.934
Proto-oncogene tyrosine-protein kinase Src,Tyrosine-protein kinase ITK/TSK,0.939
Proto-oncogene tyrosine-protein kinase Src,Tyrosine-protein kinase Lyn,0.989
Proto-oncogene tyrosine-protein kinase Src,RAC-alpha serine/threonine-protein kinase,0.995
Proton-coupled folate transporter,Reduced folate transporter,0.806
RAC-alpha serine/threonine-protein kinase,Vascular endothelial growth factor receptor 2,0.715
RAC-alpha serine/threonine-protein kinase,Signal transducer and activator of transcription 3,0.966
RAC-alpha serine/threonine-protein kinase,Telomerase reverse transcriptase,0.903
RAC-alpha serine/threonine-protein kinase,Tubulin beta chain,0.81
RAC-alpha serine/threonine-protein kinase,Serine/threonine-protein kinase mTOR,0.999
RAC-alpha serine/threonine-protein kinase,Thioredoxin,0.765
RAC-alpha serine/threonine-protein kinase,Tyrosine-protein kinase JAK2,0.732
RAC-alpha serine/threonine-protein kinase,Serine/threonine-protein kinase B-raf,0.783
RAC-alpha serine/threonine-protein kinase,Tyrosine-protein kinase Lyn,0.82
RAC-alpha serine/threonine-protein kinase,Tyrosine-protein kinase Lck,0.799
RAC-alpha serine/threonine-protein kinase,RAC-gamma serine/threonine-protein kinase,0.958
RAC-gamma serine/threonine-protein kinase,Serine/threonine-protein kinase mTOR,0.96
Receptor tyrosine-protein kinase erbB-2,Receptor-type tyrosine-protein kinase FLT3,0.735
Receptor tyrosine-protein kinase erbB-2,Vascular endothelial growth factor receptor 3,0.722
Receptor tyrosine-protein kinase erbB-2,Signal transducer and activator of transcription 3,0.948
Receptor tyrosine-protein kinase erbB-2,Serine/threonine-protein kinase mTOR,0.725
Receptor tyrosine-protein kinase erbB-2,Tyrosine-protein kinase ABL1,0.731
Receptor tyrosine-protein kinase erbB-2,Tyrosine-protein kinase JAK2,0.966
Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,0.999
Receptor-type tyrosine-protein kinase FLT3,Tyrosine-protein kinase HCK,0.716
Receptor-type tyrosine-protein kinase FLT3,Tyrosine-protein kinase Lck,0.762
Receptor-type tyrosine-protein kinase FLT3,SH2B adapter protein 3,0.777
Receptor-type tyrosine-protein kinase FLT3,Signal transducer and activator of transcription 3,0.971
Reduced folate transporter,Thymidylate synthase,0.719
"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma","cGMP-specific 3',5'-cyclic phosphodiesterase",0.932
Ribonucleoside-diphosphate reductase large subunit,Ribonucleoside-diphosphate reductase subunit M2,0.999
Ribonucleoside-diphosphate reductase large subunit,Thioredoxin,0.856
Ribonucleoside-diphosphate reductase large subunit,Thymidylate synthase,0.976
Ribonucleoside-diphosphate reductase subunit M2,Thymidylate synthase,0.805
Ribonucleoside-diphosphate reductase subunit M2,Thioredoxin,0.811
RuvB-like 2,Telomerase reverse transcriptase,0.992
SH2B adapter protein 3,Tyrosine-protein kinase Lck,0.768
SH2B adapter protein 3,Tyrosine-protein kinase JAK2,0.988
Serine/threonine-protein kinase B-raf,Signal transducer and activator of transcription 3,0.773
Serine/threonine-protein kinase B-raf,Telomerase reverse transcriptase,0.815
Serine/threonine-protein kinase Chk1,Thymidylate synthase,0.863
Serine/threonine-protein kinase Chk1,Serine/threonine-protein kinase mTOR,0.763
Serine/threonine-protein kinase Chk1,Ubiquitin-conjugating enzyme E2 T,0.712
Serine/threonine-protein kinase mTOR,Signal transducer and activator of transcription 3,0.926
Serine/threonine-protein kinase mTOR,Telomerase reverse transcriptase,0.738
Serine/threonine-protein kinase mTOR,Tubulin beta chain,0.995
Serine/threonine-protein kinase mTOR,Tyrosine-protein kinase JAK2,0.742
Serine/threonine-protein kinase pim-1,Signal transducer and activator of transcription 3,0.733
Signal transducer and activator of transcription 3,Vascular endothelial growth factor receptor 1,0.734
Signal transducer and activator of transcription 3,Vascular cell adhesion protein 1,0.818
Signal transducer and activator of transcription 3,Tyrosine-protein phosphatase non-receptor type 1,0.826
Signal transducer and activator of transcription 3,Tyrosine-protein kinase HCK,0.911
Signal transducer and activator of transcription 3,Transcription factor Sp1,0.923
Signal transducer and activator of transcription 3,Tyrosine-protein kinase Lyn,0.938
Signal transducer and activator of transcription 3,Tyrosine-protein kinase Lck,0.959
Signal transducer and activator of transcription 3,Tyrosine-protein kinase JAK2,0.999
Sodium channel protein type 10 subunit alpha,Voltage-dependent T-type calcium channel subunit alpha-1H,0.713
Sodium channel protein type 10 subunit alpha,Transient receptor potential cation channel subfamily V member 1,0.806
Sodium channel protein type 10 subunit alpha,Voltage-gated sodium channel alpha subunit,0.95
Sodium channel protein type 11 subunit alpha,Voltage-gated sodium channel alpha subunit,0.907
Solute carrier organic anion transporter family member 1B1,Vitamin K epoxide reductase complex subunit 1,0.784
Steroid hormone receptor ERR1,Steroid hormone receptor ERR2,0.824
Thioredoxin,Tyrosine-protein phosphatase non-receptor type 1,0.849
Thioredoxin,"Thioredoxin reductase 1, cytoplasmic",0.999
Transient receptor potential cation channel subfamily M member 7,Transient receptor potential cation channel subfamily V member 1,0.747
Type-1 angiotensin II receptor,Tyrosine-protein kinase JAK2,0.719
Tyrosine-protein kinase HCK,Tyrosine-protein kinase JAK2,0.842
Tyrosine-protein kinase HCK,Tyrosine-protein kinase Lck,0.873
Tyrosine-protein kinase HCK,Tyrosine-protein kinase ITK/TSK,0.946
Tyrosine-protein kinase HCK,Tyrosine-protein kinase Lyn,0.986
Tyrosine-protein kinase ITK/TSK,Tyrosine-protein kinase Lyn,0.916
Tyrosine-protein kinase ITK/TSK,Tyrosine-protein kinase Lck,0.917
Tyrosine-protein kinase JAK2,Vascular endothelial growth factor receptor 2,0.926
Tyrosine-protein kinase JAK2,Tyrosine-protein phosphatase non-receptor type 1,0.98
Tyrosine-protein kinase JAK2,Tyrosine-protein kinase Lyn,0.931
Tyrosine-protein kinase Lck,Tyrosine-protein kinase Lyn,0.905
Tyrosine-protein phosphatase non-receptor type 1,Vascular endothelial growth factor receptor 2,0.938
Ubiquitin-conjugating enzyme E2 T,Ubiquitin-like modifier-activating enzyme 1,0.972
Vascular endothelial growth factor receptor 1,Vascular endothelial growth factor receptor 3,0.92
Vascular endothelial growth factor receptor 1,Vascular endothelial growth factor receptor 2,0.994
Vascular endothelial growth factor receptor 2,Vascular endothelial growth factor receptor 3,0.994
Vitamin K epoxide reductase complex subunit 1,Vitamin K-dependent gamma-carboxylase,0.998
Vitamin K epoxide reductase complex subunit 1,Vitamin K-dependent protein S,0.864
Vitamin K epoxide reductase complex subunit 1,Vitamin K epoxide reductase complex subunit 1-like protein 1,0.949
Vitamin K epoxide reductase complex subunit 1-like protein 1,Vitamin K-dependent gamma-carboxylase,0.954
Vitamin K-dependent gamma-carboxylase,Vitamin K-dependent protein C,0.839
Vitamin K-dependent gamma-carboxylase,Vitamin K-dependent protein S,0.991
Vitamin K-dependent protein C,Vitamin K-dependent protein S,0.859
Voltage gated L-type calcium channel,Voltage-dependent T-type calcium channel subunit alpha-1H,0.843
Voltage-dependent N-type calcium channel subunit alpha-1B,Voltage-dependent T-type calcium channel subunit alpha-1H,0.772
Voltage-dependent N-type calcium channel subunit alpha-1B,Voltage-dependent R-type calcium channel subunit alpha-1E,0.956
Voltage-dependent R-type calcium channel subunit alpha-1E,Voltage-dependent T-type calcium channel subunit alpha-1H,0.747
Voltage-dependent T-type calcium channel subunit alpha-1H,Voltage-gated sodium channel alpha subunit,0.748
